Year,season,Total_Catch,evhoe,porcupine,irigfs,resgasc
1995,4,13975,NA,NA,NA,1470.34
1996,4,9453,NA,NA,NA,998.18
1997,4,8701,57.84,NA,NA,1573.48
1998,4,8509,52.4,NA,NA,1013.42
1999,4,10523.1,58.35,NA,NA,2304.14
2000,4,7762.8,42.73,NA,NA,766.14
2001,4,7613,78.43,NA,NA,4206.38
2002,4,9908,126.97,NA,NA,NA
2003,4,10400.7971,47.93,NA,24.35,NA
2004,4,10683.978,167.9,NA,73.73,NA
2005,4,9852.3293,68.23,NA,121.04,NA
2006,4,9486.6485,75.61,NA,64.06,NA
2007,4,10664.0407,137.43,NA,88.15,NA
2008,4,13536.5149,198.38,NA,162.18,NA
2009,4,17136.0575,70.42,NA,59.44,NA
2010,4,21818.9854,72.54,NA,84.71,NA
2011,4,21928.3135,113.4,NA,85.65,NA
2012,4,23351.5714,331.32,NA,315.4,NA
2013,4,23041.1799,122.15,NA,102.57,NA
2014,4,25965.4549,71.76,NA,45.13,NA
2015,4,25798.0574,90.44,NA,50,NA
2016,4,29539.9241,222.83,NA,87.71,NA
2017,4,24442.3343,NA,NA,108.26,NA
2018,4,20690.7375,87.55,NA,36.3,NA
2019,4,18823.1597,143.82,NA,46.6014,NA
