Year,season,Total_Catch,evhoe,porcupine,irigfs,resgasc
2015,3,24004.005,NA,67.4,NA,NA
2016,3,30864.055,NA,54.1,NA,NA
2017,3,28175.564,NA,92.32,NA,NA
2018,3,23987.997,NA,58.89,NA,NA
2019,3,23660.04,NA,38.95,NA,NA
1978,4,10679.042,NA,NA,NA,NA
1979,4,10694.42,NA,NA,NA,NA
1980,4,12253.708,NA,NA,NA,NA
1981,4,11922.325,NA,NA,NA,NA
1982,4,12097.565,NA,NA,NA,NA
1983,4,12372.808,NA,NA,NA,NA
1984,4,13468.844,NA,NA,NA,NA
1985,4,12551.724,NA,NA,NA,3940.08
1986,4,12361.109,NA,NA,NA,1232.42
1987,4,13508.516,NA,NA,NA,3527.33
1988,4,13966.07,NA,NA,NA,2820.19
1989,4,14602.32,NA,NA,NA,2254.87
1990,4,15030.04,NA,NA,NA,1926.46
1991,4,11557.227,NA,NA,NA,1393.49
1992,4,10756.543,NA,NA,NA,692.38
1993,4,9964.226,NA,NA,NA,1588.43
1994,4,11729.013,NA,NA,NA,1215.5
1995,4,15044.985,NA,NA,NA,1470.34
1996,4,9864.111,NA,NA,NA,998.18
1997,4,9650.915,57.84,NA,NA,1573.48
1998,4,10074.658,52.4,NA,NA,1013.42
1999,4,11924.798,58.35,NA,NA,2304.14
2000,4,8379.354,42.73,NA,NA,766.14
2001,4,8646.206,78.43,NA,NA,4206.38
2002,4,11251.372,126.97,NA,NA,NA
2003,4,11037.37,47.93,NA,24.35,NA
2004,4,10966.659,167.9,NA,73.73,NA
2005,4,10175.152,68.23,NA,121.04,NA
2006,4,10230.368,75.61,NA,64.06,NA
2007,4,11246.595,137.43,NA,88.15,NA
2008,4,14020.019,198.38,NA,162.18,NA
2009,4,17591.169,70.42,NA,59.44,NA
2010,4,20928.678,72.54,NA,84.71,NA
2011,4,22150.498,113.4,NA,85.65,NA
2012,4,21736.649,331.32,NA,315.4,NA
2013,4,21378.894,122.15,NA,102.57,NA
2014,4,25098.865,71.76,NA,45.13,NA
2015,4,24401.656,90.44,NA,50,NA
2016,4,28247,222.83,NA,87.71,NA
2017,4,23942.877,NA,NA,108.26,NA
2018,4,20726.512,87.55,NA,36.3,NA
2019,4,19171.349,143.82,NA,46.6014,NA
