"Zone_Ices","FishingSeason","Mean","Low","Upp","Catches"
"Ices_8.c",1998,10.8579060484563,9.16289949168792,12.8332134521184,1215.135
"Ices_8.c",1999,9.1225998104855,7.93278072515053,10.4695779698008,776.186
"Ices_8.c",2000,12.0002974203213,10.2996441171469,13.9545410890654,919.158
"Ices_8.c",2001,10.340703600194,9.00935431214567,11.8478885938148,671.03
"Ices_8.c",2002,10.8951636941466,9.48485692837508,12.493691925606,607.407
"Ices_8.c",2003,9.87991697182558,8.79967338668253,11.0782405117586,788.298
"Ices_8.c",2004,11.8836031792429,10.5159314586828,13.4125530288925,974.219
"Ices_8.c",2005,9.36473733496893,8.26923344308257,10.5888226509257,691.498
"Ices_8.c",2006,9.84273865145401,8.60369246763608,11.2404101247647,799.488
"Ices_8.c",2007,15.3699993180223,13.3781606797534,17.6356551598137,1215.297
"Ices_8.c",2008,13.2340301804179,11.5707835421252,15.1154852869877,700.981
"Ices_8.c",2009,11.8467198070658,10.2861543333604,13.6216103107883,973.431
"Ices_8.c",2010,14.6737837518004,12.6154103032755,17.0414690155413,1320.957
"Ices_8.c",2011,13.219268625245,11.3800155306181,15.330123432098,882.01
"Ices_8.c",2012,12.8785708293495,11.2114522196469,14.7717217053489,680.046
"Ices_8.c",2013,12.8001142978358,11.1902706663163,14.6208207721346,712.455
"Ices_8.c",2014,10.9139671160079,9.56509702758384,12.4339164433537,813.775
"Ices_8.c",2015,6.4329292165072,5.54949735303066,7.43449338463239,462.193
"Ices_8.c",2016,11.0301942184368,9.55467653932036,12.7103519784579,846.106
"Ices_8.c",2017,8.76775322924399,7.54126142712515,10.1691759369439,637.589
"Ices_8.c",2018,9.57188081978159,8.0231785252755,11.3847208864361,707.56
"Ices_9.a",1998,9.69509629280747,8.57814801205096,10.9418388102756,2400.219
"Ices_9.a",1999,6.59798614025028,5.87742905434723,7.39343705731944,1396.051
"Ices_9.a",2000,7.13839373546834,6.28894973870809,8.0864932384764,1806.098
"Ices_9.a",2001,6.70406348607902,5.89339572284793,7.6095244853871,1424.315
"Ices_9.a",2002,7.57356401572929,6.68866401676688,8.55991188938814,1873.775
"Ices_9.a",2003,7.54854308078089,6.83114720138848,8.33156936276301,2226.935
"Ices_9.a",2004,5.76901318045851,5.18743933169637,6.40528946016198,1768.512
"Ices_9.a",2005,4.46193391386283,3.9699902964399,5.00241427691686,824.5
"Ices_9.a",2006,6.91444521525903,6.19490264451872,7.70572888821282,1462.678
"Ices_9.a",2007,7.74353235055209,6.92237548946172,8.64962135205001,1963.601
"Ices_9.a",2008,8.68366844857831,7.80432008531178,9.65077296138362,1667.52
"Ices_9.a",2009,10.2226466919694,9.12071637017386,11.4445242769453,2108.832
"Ices_9.a",2010,11.5498529494505,10.1753860935974,13.0933252169189,3041.538
"Ices_9.a",2011,7.38868075784196,6.54186469259769,8.3306443343381,1549.99
"Ices_9.a",2012,7.93249382929987,7.11818940128924,8.82857125401287,1511.005
"Ices_9.a",2013,9.65283437260811,8.67518992355234,10.7292551883428,1567.649
"Ices_9.a",2014,7.41882301631411,6.65239182530657,8.26205336012482,1610.152
"Ices_9.a",2015,8.41774900920785,7.47680647347937,9.46295797771004,1713.962
"Ices_9.a",2016,8.3282249516418,7.43608155187723,9.31477315682653,2148.342
"Ices_9.a",2017,6.0543701006265,5.36590016376498,6.81778193148314,938.411
"Ices_9.a",2018,10.184528324147,8.87727899924905,11.6646523321326,1512.835
